accs,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.163,179.0,198.0,107.0,763.0,736.0,72.0,475.0,46.0,263.0,894.0,10
0.2247,179.0,198.0,107.0,763.0,736.0,72.0,475.0,46.0,263.0,894.0,20
0.2764,179.0,198.0,107.0,763.0,736.0,72.0,475.0,46.0,263.0,894.0,30
0.296,179.0,198.0,107.0,763.0,736.0,72.0,475.0,46.0,263.0,894.0,40
0.2843,179.0,198.0,107.0,763.0,736.0,72.0,475.0,46.0,263.0,894.0,50
0.3299,179.0,198.0,107.0,763.0,736.0,72.0,475.0,46.0,263.0,894.0,60
0.186,386.0,594.0,709.0,586.0,651.0,31.0,340.0,506.0,658.0,505.0,10
0.3057,386.0,594.0,709.0,586.0,651.0,31.0,340.0,506.0,658.0,505.0,20
0.3551,386.0,594.0,709.0,586.0,651.0,31.0,340.0,506.0,658.0,505.0,30
0.3901,386.0,594.0,709.0,586.0,651.0,31.0,340.0,506.0,658.0,505.0,40
0.3947,386.0,594.0,709.0,586.0,651.0,31.0,340.0,506.0,658.0,505.0,50
0.4225,386.0,594.0,709.0,586.0,651.0,31.0,340.0,506.0,658.0,505.0,60
0.1,517.0,425.0,947.0,121.0,745.0,665.0,150.0,687.0,181.0,310.0,10
0.2533,517.0,425.0,947.0,121.0,745.0,665.0,150.0,687.0,181.0,310.0,20
0.3086,517.0,425.0,947.0,121.0,745.0,665.0,150.0,687.0,181.0,310.0,30
0.3431,517.0,425.0,947.0,121.0,745.0,665.0,150.0,687.0,181.0,310.0,40
0.3809,517.0,425.0,947.0,121.0,745.0,665.0,150.0,687.0,181.0,310.0,50
0.3966,517.0,425.0,947.0,121.0,745.0,665.0,150.0,687.0,181.0,310.0,60
0.158,421.0,827.0,461.0,706.0,925.0,94.0,169.0,409.0,558.0,529.0,10
0.2643,421.0,827.0,461.0,706.0,925.0,94.0,169.0,409.0,558.0,529.0,20
0.3241,421.0,827.0,461.0,706.0,925.0,94.0,169.0,409.0,558.0,529.0,30
0.3581,421.0,827.0,461.0,706.0,925.0,94.0,169.0,409.0,558.0,529.0,40
0.3893,421.0,827.0,461.0,706.0,925.0,94.0,169.0,409.0,558.0,529.0,50
0.4039,421.0,827.0,461.0,706.0,925.0,94.0,169.0,409.0,558.0,529.0,60
0.204,955.0,263.0,313.0,828.0,963.0,412.0,102.0,271.0,911.0,301.0,10
0.2335,955.0,263.0,313.0,828.0,963.0,412.0,102.0,271.0,911.0,301.0,20
0.2771,955.0,263.0,313.0,828.0,963.0,412.0,102.0,271.0,911.0,301.0,30
