accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.1277,1.0174169540405273,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,0
0.2965,5.083660125732422,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,5
0.3649,5.154908180236816,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,10
0.3985,5.135647773742676,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,15
0.4176,5.004770278930664,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,20
0.4368,5.128726959228516,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,25
0.3556,5.088603496551514,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,30
0.452,5.089698791503906,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,35
0.4961,5.077847480773926,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,40
0.4982,5.047329425811768,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,45
0.5058,5.067756175994873,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,50
0.5236,5.065471172332764,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,55
0.5366,5.216310501098633,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,60
0.5447,5.110467910766602,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,65
0.5438,5.190691947937012,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,70
0.5543,5.081053733825684,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,75
0.5535,5.1266491413116455,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,80
0.5625,5.1298534870147705,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,85
0.5605,5.170357704162598,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,90
0.5647,5.155328989028931,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,95
0.5799,5.130723476409912,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,100
0.5818,5.174124240875244,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,105
0.5806,5.135731220245361,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,110
0.5805,5.142656087875366,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,115
0.5824,5.1350014209747314,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,120
0.5767,5.119463920593262,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,125
0.5801,5.090538501739502,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,130
0.5807,5.077200412750244,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,135
0.5775,5.154397964477539,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,140
0.5762,5.046595811843872,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,145
0.5801,5.195504903793335,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,150
0.5802,5.131227970123291,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,155
0.5797,5.015657424926758,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,160
0.579,5.061135292053223,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,165
0.5794,5.102724552154541,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,170
0.5796,5.107691764831543,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,175
0.5793,5.055757284164429,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,180
0.578,5.172079801559448,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,185
0.5793,5.116534233093262,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,190
0.5801,5.093698978424072,816.0,245.0,950.0,438.0,770.0,63.0,917.0,975.0,688.0,223.0,195
0.1302,0.9189553260803223,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,0
0.2906,4.505838394165039,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,5
