accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.2101,1.582960605621338,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,0
0.3372,7.7364091873168945,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,5
0.3737,7.767966985702515,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,10
0.4112,7.621674060821533,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,15
0.4744,7.692213535308838,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,20
0.4973,7.76532769203186,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,25
0.5432,7.743889808654785,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,30
0.5635,7.805963039398193,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,35
0.5492,7.768036603927612,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,40
0.5765,7.880595922470093,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,45
0.603,7.747957706451416,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,50
0.5559,7.755348443984985,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,55
0.5826,7.725388765335083,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,60
0.602,7.787201881408691,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,65
0.5813,7.674365520477295,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,70
0.6001,7.672198534011841,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,75
0.5931,7.6555352210998535,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,80
0.5922,7.76575231552124,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,85
0.6021,7.70108699798584,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,90
0.6168,7.737041473388672,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,95
0.6165,7.795048952102661,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,100
0.6169,7.777850389480591,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,105
0.612,7.69264554977417,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,110
0.6162,7.760115623474121,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,115
0.6137,7.722121477127075,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,120
0.615,7.822751998901367,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,125
0.6146,7.745325803756714,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,130
0.6109,7.660125732421875,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,135
0.6142,7.744549036026001,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,140
0.6094,7.801388263702393,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,145
0.6123,7.753917217254639,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,150
0.613,7.740861177444458,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,155
0.6119,7.721191167831421,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,160
0.6127,7.770331144332886,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,165
0.6121,7.662267446517944,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,170
0.6124,7.700509548187256,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,175
0.6128,7.677561283111572,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,180
0.614,7.818210124969482,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,185
0.614,7.841340065002441,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,190
0.6136,7.651263952255249,1564.0,1611.0,531.0,360.0,2008.0,1366.0,440.0,157.0,280.0,1684.0,195
0.1754,1.5132739543914795,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,0
0.2946,7.6849329471588135,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,5
0.4187,7.799149036407471,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,10
0.4405,7.880256652832031,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,15
0.503,7.664821147918701,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,20
0.5175,7.7752838134765625,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,25
0.5522,7.741557359695435,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,30
0.5757,7.7433764934539795,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,35
0.5846,7.768798828125,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,40
0.5878,7.632132530212402,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,45
0.5985,7.685942888259888,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,50
0.5774,7.755309820175171,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,55
0.5982,7.733086109161377,1793.0,1208.0,1742.0,609.0,925.0,284.0,1912.0,290.0,664.0,573.0,60
