accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.1601,0.9622907638549805,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,0
0.2018,4.73646354675293,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,5
0.2771,4.687925815582275,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,10
0.3173,4.744298696517944,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,15
0.3243,4.682328224182129,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,20
0.3323,4.642247438430786,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,25
0.3829,4.694945812225342,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,30
0.3698,4.636565446853638,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,35
0.4019,4.688112020492554,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,40
0.4184,4.656101703643799,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,45
0.412,4.647239923477173,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,50
0.4571,4.64301609992981,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,55
0.4684,4.7640061378479,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,60
0.4849,4.7140491008758545,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,65
0.4896,4.625749111175537,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,70
0.4982,4.696623802185059,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,75
0.5123,4.6403844356536865,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,80
0.5121,4.706225633621216,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,85
0.5053,4.654169321060181,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,90
0.5303,4.800438165664673,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,95
0.5462,4.6857874393463135,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,100
0.5499,4.657242774963379,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,105
0.5582,4.587421178817749,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,110
0.5598,4.72478985786438,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,115
0.5532,4.6809093952178955,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,120
0.5566,4.755865812301636,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,125
0.5564,4.629022598266602,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,130
0.5553,4.640866756439209,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,135
0.557,4.713942050933838,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,140
0.5649,4.690932512283325,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,145
0.5572,4.661770820617676,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,150
0.5604,4.736943483352661,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,155
0.5611,4.718576908111572,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,160
0.5628,4.718608856201172,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,165
0.5617,4.67432165145874,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,170
0.5622,4.771762847900391,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,175
0.5626,4.691998720169067,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,180
0.5663,4.648010969161987,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,185
0.5615,4.652761220932007,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,190
0.5628,4.6927947998046875,359.0,991.0,274.0,185.0,476.0,686.0,580.0,130.0,150.0,656.0,195
0.1767,1.0200045108795166,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,0
0.3056,5.092093467712402,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,5
0.3473,5.085520267486572,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,10
0.3835,5.138132095336914,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,15
0.429,5.108732223510742,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,20
0.4568,5.180504322052002,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,25
0.4566,5.1552839279174805,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,30
0.4769,5.136997938156128,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,35
0.4856,5.114118337631226,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,40
0.5088,5.181198835372925,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,45
0.4918,5.118587493896484,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,50
0.5367,5.143333196640015,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,55
0.5173,5.212271213531494,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,60
0.5267,5.204402446746826,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,65
0.5,5.2331860065460205,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,70
0.5315,5.07733416557312,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,75
0.5191,5.159550428390503,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,80
0.535,5.222249984741211,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,85
0.5382,5.219053268432617,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,90
0.5264,5.099066972732544,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,95
0.539,5.127830743789673,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,100
0.5479,5.22779393196106,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,105
0.5472,5.2210657596588135,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,110
0.5451,5.124321937561035,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,115
0.5445,5.157648324966431,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,120
0.5471,5.154109477996826,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,125
0.5494,5.189806222915649,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,130
0.5451,5.165656089782715,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,135
0.5475,5.20503044128418,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,140
0.5475,5.162053108215332,533.0,723.0,375.0,27.0,502.0,861.0,976.0,210.0,854.0,18.0,145
