accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.113,2.1522035598754883,89.0,994.0,492.0,459.0,970.0,65.0,374.0,57.0,6.0,781.0,3
0.1159,1.6137042045593262,89.0,994.0,492.0,459.0,970.0,65.0,374.0,57.0,6.0,781.0,6
0.1142,2.19384503364563,637.0,114.0,435.0,801.0,794.0,532.0,865.0,312.0,67.0,333.0,3
0.1203,1.75276780128479,637.0,114.0,435.0,801.0,794.0,532.0,865.0,312.0,67.0,333.0,6
0.1132,2.9820258617401123,1298.0,1048.0,581.0,244.0,1057.0,1173.0,455.0,375.0,429.0,786.0,3
0.1139,2.263545036315918,1298.0,1048.0,581.0,244.0,1057.0,1173.0,455.0,375.0,429.0,786.0,6
0.1039,2.6964643001556396,476.0,174.0,293.0,13.0,1187.0,1310.0,299.0,275.0,761.0,1415.0,3
0.1362,2.0433406829833984,476.0,174.0,293.0,13.0,1187.0,1310.0,299.0,275.0,761.0,1415.0,6
0.1,3.837087869644165,261.0,1770.0,589.0,782.0,1405.0,1140.0,973.0,1474.0,15.0,1223.0,3
0.1362,2.8100500106811523,261.0,1770.0,589.0,782.0,1405.0,1140.0,973.0,1474.0,15.0,1223.0,6
0.1027,3.8368797302246094,637.0,1100.0,1344.0,1527.0,1085.0,1019.0,503.0,919.0,1449.0,589.0,3
0.1268,2.988044500350952,637.0,1100.0,1344.0,1527.0,1085.0,1019.0,503.0,919.0,1449.0,589.0,6
0.1317,4.772293567657471,1883.0,605.0,2247.0,1230.0,1638.0,91.0,1860.0,921.0,815.0,1504.0,3
0.1494,3.578279495239258,1883.0,605.0,2247.0,1230.0,1638.0,91.0,1860.0,921.0,815.0,1504.0,6
0.1222,3.9921865463256836,96.0,1020.0,387.0,32.0,2018.0,1526.0,900.0,1576.0,477.0,1975.0,3
0.1548,2.925992965698242,96.0,1020.0,387.0,32.0,2018.0,1526.0,900.0,1576.0,477.0,1975.0,6
0.1416,5.15388035774231,919.0,1882.0,501.0,1269.0,2610.0,1787.0,240.0,1512.0,1014.0,2328.0,3
0.1554,3.9713995456695557,919.0,1882.0,501.0,1269.0,2610.0,1787.0,240.0,1512.0,1014.0,2328.0,6
0.0996,5.133755922317505,262.0,181.0,1867.0,2874.0,2796.0,1439.0,1920.0,1528.0,969.0,290.0,3
0.1197,3.9264767169952393,262.0,181.0,1867.0,2874.0,2796.0,1439.0,1920.0,1528.0,969.0,290.0,6
0.1038,4.583025217056274,2426.0,2306.0,861.0,412.0,618.0,2151.0,674.0,1008.0,2080.0,33.0,3
0.1492,3.463848829269409,2426.0,2306.0,861.0,412.0,618.0,2151.0,674.0,1008.0,2080.0,33.0,6
0.1014,3.887857437133789,2855.0,856.0,16.0,770.0,2029.0,102.0,57.0,1426.0,1608.0,413.0,3
0.1447,2.999643564224243,2855.0,856.0,16.0,770.0,2029.0,102.0,57.0,1426.0,1608.0,413.0,6
0.1548,6.903687477111816,1588.0,2967.0,646.0,495.0,3761.0,2304.0,665.0,1947.0,3564.0,1789.0,3
0.2048,5.205844402313232,1588.0,2967.0,646.0,495.0,3761.0,2304.0,665.0,1947.0,3564.0,1789.0,6
0.1288,7.4174933433532715,969.0,1268.0,3203.0,412.0,3783.0,2642.0,2885.0,3802.0,2199.0,651.0,3
0.1881,5.6907799243927,969.0,1268.0,3203.0,412.0,3783.0,2642.0,2885.0,3802.0,2199.0,651.0,6
