accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.1141,1.3441545963287354,986.0,75.0,40.0,428.0,472.0,656.0,785.0,325.0,923.0,741.0,0
0.2123,6.897170543670654,986.0,75.0,40.0,428.0,472.0,656.0,785.0,325.0,923.0,741.0,5
0.2665,6.992935419082642,986.0,75.0,40.0,428.0,472.0,656.0,785.0,325.0,923.0,741.0,10
0.3103,6.945722579956055,986.0,75.0,40.0,428.0,472.0,656.0,785.0,325.0,923.0,741.0,15
0.1178,1.4706518650054932,385.0,984.0,724.0,733.0,24.0,992.0,491.0,836.0,482.0,48.0,0
0.1748,7.265943288803101,385.0,984.0,724.0,733.0,24.0,992.0,491.0,836.0,482.0,48.0,5
0.2778,6.963498830795288,385.0,984.0,724.0,733.0,24.0,992.0,491.0,836.0,482.0,48.0,10
0.3077,7.200148105621338,385.0,984.0,724.0,733.0,24.0,992.0,491.0,836.0,482.0,48.0,15
0.1089,1.0099260807037354,40.0,508.0,523.0,31.0,996.0,217.0,16.0,623.0,288.0,624.0,0
0.1742,5.181985378265381,40.0,508.0,523.0,31.0,996.0,217.0,16.0,623.0,288.0,624.0,5
0.2175,5.236527919769287,40.0,508.0,523.0,31.0,996.0,217.0,16.0,623.0,288.0,624.0,10
0.25,5.220953464508057,40.0,508.0,523.0,31.0,996.0,217.0,16.0,623.0,288.0,624.0,15
0.1505,2.544386863708496,325.0,340.0,1239.0,9.0,1834.0,1894.0,1247.0,1151.0,603.0,1914.0,0
0.2235,12.586182594299316,325.0,340.0,1239.0,9.0,1834.0,1894.0,1247.0,1151.0,603.0,1914.0,5
0.3192,12.40984296798706,325.0,340.0,1239.0,9.0,1834.0,1894.0,1247.0,1151.0,603.0,1914.0,10
0.3522,12.360748291015625,325.0,340.0,1239.0,9.0,1834.0,1894.0,1247.0,1151.0,603.0,1914.0,15
0.1117,1.6818468570709229,817.0,693.0,521.0,1919.0,156.0,499.0,230.0,45.0,957.0,986.0,0
0.1996,8.362364053726196,817.0,693.0,521.0,1919.0,156.0,499.0,230.0,45.0,957.0,986.0,5
0.2669,8.592235326766968,817.0,693.0,521.0,1919.0,156.0,499.0,230.0,45.0,957.0,986.0,10
0.287,8.48583436012268,817.0,693.0,521.0,1919.0,156.0,499.0,230.0,45.0,957.0,986.0,15
0.1382,3.533830165863037,1955.0,1865.0,1852.0,1187.0,1218.0,1032.0,1871.0,1466.0,1809.0,362.0,0
0.3284,17.03419518470764,1955.0,1865.0,1852.0,1187.0,1218.0,1032.0,1871.0,1466.0,1809.0,362.0,5
0.3873,17.294137716293335,1955.0,1865.0,1852.0,1187.0,1218.0,1032.0,1871.0,1466.0,1809.0,362.0,10
0.4195,17.527633666992188,1955.0,1865.0,1852.0,1187.0,1218.0,1032.0,1871.0,1466.0,1809.0,362.0,15
0.1461,3.2524681091308594,57.0,1796.0,997.0,118.0,2874.0,87.0,1655.0,2286.0,1910.0,1834.0,0
0.2936,15.960561037063599,57.0,1796.0,997.0,118.0,2874.0,87.0,1655.0,2286.0,1910.0,1834.0,5
0.3498,15.869409084320068,57.0,1796.0,997.0,118.0,2874.0,87.0,1655.0,2286.0,1910.0,1834.0,10
0.3745,16.040631532669067,57.0,1796.0,997.0,118.0,2874.0,87.0,1655.0,2286.0,1910.0,1834.0,15
0.1746,4.89949369430542,2674.0,2005.0,2891.0,1917.0,1706.0,2996.0,211.0,1754.0,2636.0,2759.0,0
0.3629,24.082683324813843,2674.0,2005.0,2891.0,1917.0,1706.0,2996.0,211.0,1754.0,2636.0,2759.0,5
0.4048,24.663851261138916,2674.0,2005.0,2891.0,1917.0,1706.0,2996.0,211.0,1754.0,2636.0,2759.0,10
0.4489,24.618566751480103,2674.0,2005.0,2891.0,1917.0,1706.0,2996.0,211.0,1754.0,2636.0,2759.0,15
0.1008,3.146486282348633,1936.0,55.0,1775.0,2702.0,914.0,1517.0,2996.0,528.0,486.0,172.0,0
0.2207,15.7277512550354,1936.0,55.0,1775.0,2702.0,914.0,1517.0,2996.0,528.0,486.0,172.0,5
0.2459,15.404495477676392,1936.0,55.0,1775.0,2702.0,914.0,1517.0,2996.0,528.0,486.0,172.0,10
0.2783,15.556706190109253,1936.0,55.0,1775.0,2702.0,914.0,1517.0,2996.0,528.0,486.0,172.0,15
0.1508,3.5245203971862793,2616.0,2205.0,3793.0,208.0,1242.0,133.0,1410.0,620.0,454.0,2348.0,0
0.2723,17.212299585342407,2616.0,2205.0,3793.0,208.0,1242.0,133.0,1410.0,620.0,454.0,2348.0,5
0.3196,17.567913055419922,2616.0,2205.0,3793.0,208.0,1242.0,133.0,1410.0,620.0,454.0,2348.0,10
0.3523,17.60682964324951,2616.0,2205.0,3793.0,208.0,1242.0,133.0,1410.0,620.0,454.0,2348.0,15
0.1775,5.333762884140015,3945.0,18.0,1839.0,3700.0,3610.0,1584.0,3715.0,3652.0,1430.0,43.0,0
0.2834,26.88441300392151,3945.0,18.0,1839.0,3700.0,3610.0,1584.0,3715.0,3652.0,1430.0,43.0,5
0.3299,27.01811647415161,3945.0,18.0,1839.0,3700.0,3610.0,1584.0,3715.0,3652.0,1430.0,43.0,10
0.3599,26.75054407119751,3945.0,18.0,1839.0,3700.0,3610.0,1584.0,3715.0,3652.0,1430.0,43.0,15
0.1788,4.9014997482299805,457.0,3194.0,127.0,2521.0,2099.0,3937.0,934.0,2140.0,3482.0,3048.0,0
0.3509,25.23125982284546,457.0,3194.0,127.0,2521.0,2099.0,3937.0,934.0,2140.0,3482.0,3048.0,5
0.3896,24.614414930343628,457.0,3194.0,127.0,2521.0,2099.0,3937.0,934.0,2140.0,3482.0,3048.0,10
0.4081,25.142469882965088,457.0,3194.0,127.0,2521.0,2099.0,3937.0,934.0,2140.0,3482.0,3048.0,15
