accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.1043,2.013164520263672,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,0
0.1905,4.986593723297119,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,5
0.309,5.004673719406128,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,10
0.3266,5.127031326293945,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,15
0.3729,4.986627817153931,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,20
0.388,4.948960542678833,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,25
0.3182,4.970534324645996,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,30
0.4005,4.952746868133545,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,35
0.4199,5.04428505897522,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,40
0.4369,5.082387208938599,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,45
0.4665,5.166456460952759,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,50
0.4558,4.967820405960083,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,55
0.4689,5.022968292236328,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,60
0.4818,5.094017267227173,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,65
0.4774,5.143284320831299,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,70
0.4982,5.011124610900879,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,75
0.4999,5.041030406951904,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,80
0.5086,5.054535627365112,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,85
0.5024,4.95379376411438,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,90
0.5077,5.082781076431274,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,95
0.5468,4.996530055999756,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,100
0.5424,5.071915864944458,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,105
0.5399,5.068087816238403,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,110
0.5418,5.1465842723846436,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,115
0.5406,5.049903631210327,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,120
0.5421,5.01318621635437,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,125
0.5397,5.017758846282959,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,130
0.5391,5.039490461349487,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,135
0.5431,5.12526273727417,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,140
0.5434,5.02879786491394,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,145
0.5423,4.9958600997924805,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,150
0.5402,5.006354093551636,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,155
0.5405,5.008854866027832,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,160
0.539,5.042668104171753,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,165
0.5406,4.96526837348938,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,170
0.5388,5.069831132888794,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,175
0.54,5.080150842666626,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,180
0.5416,4.9932944774627686,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,185
0.54,5.042037487030029,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,190
0.5417,5.084162712097168,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,195
0.1,0.9743711948394775,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,0
0.1839,5.017198085784912,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,5
0.2442,5.177474498748779,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,10
0.2863,4.958930730819702,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,15
0.367,5.010334730148315,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,20
0.3937,5.029033422470093,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,25
0.4277,5.054262399673462,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,30
0.4419,4.7665696144104,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,35
0.469,4.788794755935669,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,40
0.4841,4.790843963623047,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,45
0.5079,4.779994010925293,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,50
0.5141,4.789182662963867,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,55
0.5037,4.798160076141357,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,60
0.5007,4.751739025115967,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,65
0.5232,4.770257472991943,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,70
0.4788,4.743456125259399,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,75
0.5216,4.696141719818115,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,80
0.5359,4.635944843292236,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,85
0.537,4.720024108886719,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,90
0.5272,4.682011365890503,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,95
0.5431,4.744391441345215,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,100
0.5565,4.81009316444397,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,105
0.5567,4.722696781158447,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,110
0.5528,4.790662527084351,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,115
0.5543,4.831243276596069,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,120
0.5572,4.678572416305542,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,125
0.5551,4.759986639022827,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,130
0.5566,4.712684869766235,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,135
0.5538,4.819774627685547,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,140
0.556,4.721914291381836,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,145
0.557,4.69921088218689,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,150
0.5553,4.770723819732666,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,155
0.5549,4.793873310089111,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,160
0.5537,4.688692092895508,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,165
0.556,4.760966539382935,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,170
0.5539,4.7641918659210205,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,175
0.5544,4.765926361083984,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,180
0.5555,4.7197816371917725,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,185
0.5563,4.676302194595337,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,190
0.5577,4.71979832649231,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,195
0.1,0.958956241607666,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,0
0.2955,4.767094612121582,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,5
0.3581,4.792921304702759,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,10
0.3974,4.739253520965576,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,15
0.4166,4.778718709945679,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,20
0.4341,4.730555534362793,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,25
0.4509,4.744676113128662,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,30
0.468,4.692505598068237,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,35
0.4846,4.782888650894165,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,40
0.4943,4.732306718826294,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,45
0.4907,4.785717487335205,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,50
0.4997,4.73801589012146,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,55
0.5122,4.663313388824463,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,60
0.521,4.783796548843384,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,65
0.5143,4.715425729751587,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,70
0.5123,4.750525236129761,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,75
0.5261,4.835411787033081,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,80
0.5179,4.740163326263428,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,85
0.5126,4.783218622207642,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,90
0.534,4.750270128250122,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,95
0.5291,4.705946445465088,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,100
0.5465,4.740996837615967,888.0,99.0,93.0,459.0,93.0,674.0,351.0,1257.0,541.0,545.0,105
